anzsco_code,occupation,task_rank,task
252211,Acupuncturists,2,Develops and implements treatment plans using acupuncture.
252211,Acupuncturists,3,Evaluates and documents patients' progress through treatment plans.
252212,Homoeopaths,1,"Assesses patients to determine the nature of the disorder, illness, problem or need by questioning, examining and observing."
252212,Homoeopaths,2,Develops and implements treatment plans using homoeopathic medicine.
252212,Homoeopaths,3,Evaluates and documents patients' progress through treatment plans.
252212,Homoeopaths,4,Prescribes medicines to stimulate the body's capacity for self-healing.
252213,Naturopaths,1,"Assesses patients to determine the nature of the disorder, illness, problem or need by questioning, examining and observing."
252213,Naturopaths,2,Develops and implements treatment plans.
252213,Naturopaths,3,Evaluates and documents patients' progress through treatment plans.
252213,Naturopaths,4,Seeks to improve and treat disease chiefly by assisting the body's innate capacity to recover from illness and injury.
252213,Naturopaths,5,"Naturopathic practice may include a broad array of different modalities, including manual therapy, homeopathy, hydrotherapy, herbalism, acupuncture, counselling and environmental medicine."
252214,Chinese Medicine Practitioners,1,"Assesses patients to determine the nature of the disorder, illness, problem or need by questioning, examining and observing."
252214,Chinese Medicine Practitioners,2,"Develops and implements treatment plans using techniques and methods such as acupuncture, chinese herbal medicine, massage, diet, exercise and breathing therapy."
252214,Chinese Medicine Practitioners,3,Evaluates and documents patients' progress through treatment plans.
252214,Chinese Medicine Practitioners,4,Provides dietary and lifestyle advice and guidelines.
252214,Chinese Medicine Practitioners,5,"Prescribes natural medicines, such as herbal, mineral and animal extracts, to stimulate the body's capacity for self-healing."
252299,"Music, Dance, Drama, Play, Hypnotic, and Related Therapists",1,"Assesses patients to determine the nature of the disorder, illness, problem or need by questioning, examining and observing."
252299,"Music, Dance, Drama, Play, Hypnotic, and Related Therapists",2,"Develops and implements treatment plans using applications such as dance, drama, hypnotic and music therapies."
252299,"Music, Dance, Drama, Play, Hypnotic, and Related Therapists",3,Evaluates and documents patients' progress through treatment plans.
252311,Dental Specialists (including Orthodontists),1,"Diagnoses dental diseases using a range of methods such as radiographs, salivary tests and medical histories."
252311,Dental Specialists (including Orthodontists),2,"Provides restorative oral care such as implants, complex crown and bridge restorations, and orthodontics, and repairs damaged and decayed teeth."
252311,Dental Specialists (including Orthodontists),3,Provides oral surgical treatments such as biopsy of tissue and prescription of medication.
252311,Dental Specialists (including Orthodontists),4,Restores oral function with removable and fixed oral prostheses.
252311,Dental Specialists (including Orthodontists),5,Assists in diagnosing general diseases having oral manifestations such as diabetes.
252311,Dental Specialists (including Orthodontists),6,"Leads a dental team which may comprise of dental hygienists, dental therapists, dental assistants and other dental specialists."
252711,Audiologists,1,Administers and interprets a wide range of audiometric tests to determine hearing efficiency and locate sites of hearing problems.
252711,Audiologists,2,"Interprets audiometric test results alongside other medical, social and behavioural diagnostic data."
252711,Audiologists,3,Evaluates total response pattern and acoustic tests to distinguish between organic and non-organic hearing loss.
252711,Audiologists,4,"Plans, directs and participates in counselling, speech reading and other rehabilitation programmes."
252711,Audiologists,5,Prescribes appropriate hearing aids and instructing patients in use.
252712,Speech Pathologists,1,Administers tests and observes patients to determine nature and extent of disorders.
252712,Speech Pathologists,2,Plans and conducts programs of remedial exercises to correct disorders such as stuttering and abnormal articulation.
252712,Speech Pathologists,3,"Administers individual and group therapy for rehabilitation of patients with communication problems caused by defective hearing, cerebral palsy, surgery and injury."
252712,Speech Pathologists,4,Advises on treatment for children with difficulties in learning to speak.
252712,Speech Pathologists,5,"Counsels and guides language-handicapped individuals, their families, teachers and employers."
253111,General Practitioners,1,"Conducts examinations and questions patients to determine the nature of disorders and illnesses, and records patients' medical information."
253111,General Practitioners,2,"Orders laboratory tests, x-rays and other diagnostic procedures, and interprets findings to assist in diagnosis."
253111,General Practitioners,3,"Provides overall care for patients, and prescribes and administers treatments, medications and other remedial measures."
253111,General Practitioners,4,Monitors patients' progress and response to treatment.
253111,General Practitioners,5,"Advises on diet, exercise and other habits which aid prevention and treatment of disease and disorders."
253111,General Practitioners,6,"Refers patients to, and exchanges medical information with, specialist medical practitioners."
253111,General Practitioners,7,"Reports births, deaths and notifiable diseases to government authorities."
253111,General Practitioners,8,Arranges the admission of patients to hospitals.
253112,Resident Medical Officers,1,"Conducts examinations and questions patients to determine the nature of disorders and illnesses, and records patients' medical information."
253112,Resident Medical Officers,2,"Orders laboratory tests, x-rays and other diagnostic procedures, and interprets findings to assist in diagnosis."
253112,Resident Medical Officers,3,"Provides overall care for patients, and prescribes and administers treatments, medications and other remedial measures."
253112,Resident Medical Officers,4,Monitors patients' progress and response to treatment.
253112,Resident Medical Officers,5,"Advises on diet, exercise and other habits which aid prevention and treatment of disease and disorders."
253112,Resident Medical Officers,6,"Refers patients to, and exchanges medical information with, specialist medical practitioners."
253112,Resident Medical Officers,7,"Reports births, deaths and notifiable diseases to government authorities."
253112,Resident Medical Officers,8,Arranges the admission of patients to hospitals.
253311,Specialist Physicians (General Medicine),1,"Examines patients to determine the nature and extent of problems after referral from general medical practitioners and other medical specialists, and undertakes laboratory tests and diagnostic procedures."
253311,Specialist Physicians (General Medicine),2,Analyses test results and other medical information to make diagnoses.
253311,Specialist Physicians (General Medicine),3,"Prescribes and administers drugs, as well as remedial and therapeutic treatment and procedures."
253311,Specialist Physicians (General Medicine),4,Records medical information and data.
253311,Specialist Physicians (General Medicine),5,Reports specified contagious and notifiable diseases to government health and immigration authorities.
253311,Specialist Physicians (General Medicine),6,May admit or refer patients to hospitals.
253311,Specialist Physicians (General Medicine),7,May consult other medical specialists.
253312,Cardiologists,1,"Examines patients to determine the nature and extent of problems after referral from general medical practitioners and other medical specialists, and undertakes laboratory tests and diagnostic procedures."
253312,Cardiologists,2,Analyses test results and other medical information to make diagnoses.
253312,Cardiologists,3,"Prescribes and administers drugs, as well as remedial and therapeutic treatment and procedures."
253312,Cardiologists,4,Records medical information and data.
253312,Cardiologists,5,Reports specified contagious and notifiable diseases to government health and immigration authorities.
253312,Cardiologists,6,May admit or refer patients to hospitals.
253312,Cardiologists,7,May consult other medical specialists.
253313,Clinical Haematologists,1,"Examines patients to determine the nature and extent of problems after referral from general medical practitioners and other medical specialists, and undertakes laboratory tests and diagnostic procedures."
253313,Clinical Haematologists,2,Analyses test results and other medical information to make diagnoses.
253313,Clinical Haematologists,3,"Prescribes and administers drugs, as well as remedial and therapeutic treatment and procedures."
253313,Clinical Haematologists,4,Records medical information and data.
253313,Clinical Haematologists,5,Reports specified contagious and notifiable diseases to government health and immigration authorities.
253313,Clinical Haematologists,6,May admit or refer patients to hospitals.
253313,Clinical Haematologists,7,May consult other medical specialists.
253314,Medical Oncologists,1,"Examines patients to determine the nature and extent of problems after referral from general medical practitioners and other medical specialists, and undertakes laboratory tests and diagnostic procedures."
253314,Medical Oncologists,2,Analyses test results and other medical information to make diagnoses.
253314,Medical Oncologists,3,"Prescribes and administers drugs, as well as remedial and therapeutic treatment and procedures."
253314,Medical Oncologists,4,Records medical information and data.
253314,Medical Oncologists,5,Reports specified contagious and notifiable diseases to government health and immigration authorities.
253314,Medical Oncologists,6,May admit or refer patients to hospitals.
253314,Medical Oncologists,7,May consult other medical specialists.
253315,Endocrinologists,1,"Examines patients to determine the nature and extent of problems after referral from general medical practitioners and other medical specialists, and undertakes laboratory tests and diagnostic procedures."
253315,Endocrinologists,2,Analyses test results and other medical information to make diagnoses.
253315,Endocrinologists,3,"Prescribes and administers drugs, as well as remedial and therapeutic treatment and procedures."
253315,Endocrinologists,4,Records medical information and data.
253315,Endocrinologists,5,Reports specified contagious and notifiable diseases to government health and immigration authorities.
253315,Endocrinologists,6,May admit or refer patients to hospitals.
253315,Endocrinologists,7,May consult other medical specialists.
253316,Gastroenterologists,1,"Examines patients to determine the nature and extent of problems after referral from general medical practitioners and other medical specialists, and undertakes laboratory tests and diagnostic procedures."
253316,Gastroenterologists,2,Analyses test results and other medical information to make diagnoses.
253316,Gastroenterologists,3,"Prescribes and administers drugs, as well as remedial and therapeutic treatment and procedures."
253316,Gastroenterologists,4,Records medical information and data.
253316,Gastroenterologists,5,Reports specified contagious and notifiable diseases to government health and immigration authorities.
253316,Gastroenterologists,6,May admit or refer patients to hospitals.
253316,Gastroenterologists,7,May consult other medical specialists.
253317,Intensive Care Specialists,1,"Examines patients to determine the nature and extent of problems after referral from general medical practitioners and other medical specialists, and undertakes laboratory tests and diagnostic procedures."
253317,Intensive Care Specialists,2,Analyses test results and other medical information to make diagnoses.
253317,Intensive Care Specialists,3,"Prescribes and administers drugs, as well as remedial and therapeutic treatment and procedures."
253317,Intensive Care Specialists,4,Records medical information and data.
253317,Intensive Care Specialists,5,Reports specified contagious and notifiable diseases to government health and immigration authorities.
253317,Intensive Care Specialists,6,May admit or refer patients to hospitals.
253317,Intensive Care Specialists,7,May consult other medical specialists.
253318,Neurologists,1,"Examines patients to determine the nature and extent of problems after referral from general medical practitioners and other medical specialists, and undertakes laboratory tests and diagnostic procedures."
253318,Neurologists,2,Analyses test results and other medical information to make diagnoses.
253318,Neurologists,3,"Prescribes and administers drugs, as well as remedial and therapeutic treatment and procedures."
253318,Neurologists,4,Records medical information and data.
253318,Neurologists,5,Reports specified contagious and notifiable diseases to government health and immigration authorities.
253318,Neurologists,6,May admit or refer patients to hospitals.
253318,Neurologists,7,May consult other medical specialists.
253321,Paediatricians,1,"Examines patients to determine the nature and extent of problems after referral from general medical practitioners and other medical specialists, and undertakes laboratory tests and diagnostic procedures."
253321,Paediatricians,2,Analyses test results and other medical information to make diagnoses.
253321,Paediatricians,3,"Prescribes and administers drugs, as well as remedial and therapeutic treatment and procedures."
253321,Paediatricians,4,Records medical information and data.
253321,Paediatricians,5,Reports specified contagious and notifiable diseases to government health and immigration authorities.
253321,Paediatricians,6,May admit or refer patients to hospitals.
253321,Paediatricians,7,May consult other medical specialists.
253322,Renal Medicine Specialists,1,"Examines patients to determine the nature and extent of problems after referral from general medical practitioners and other medical specialists, and undertakes laboratory tests and diagnostic procedures."
253322,Renal Medicine Specialists,2,Analyses test results and other medical information to make diagnoses.
253322,Renal Medicine Specialists,3,"Prescribes and administers drugs, as well as remedial and therapeutic treatment and procedures."
253322,Renal Medicine Specialists,4,Records medical information and data.
253322,Renal Medicine Specialists,5,Reports specified contagious and notifiable diseases to government health and immigration authorities.
253322,Renal Medicine Specialists,6,May admit or refer patients to hospitals.
253322,Renal Medicine Specialists,7,May consult other medical specialists.
253323,Rheumatologists,1,"Examines patients to determine the nature and extent of problems after referral from general medical practitioners and other medical specialists, and undertakes laboratory tests and diagnostic procedures."
253323,Rheumatologists,2,Analyses test results and other medical information to make diagnoses.
253323,Rheumatologists,3,"Prescribes and administers drugs, as well as remedial and therapeutic treatment and procedures."
253323,Rheumatologists,4,Records medical information and data.
253323,Rheumatologists,5,Reports specified contagious and notifiable diseases to government health and immigration authorities.
253323,Rheumatologists,6,May admit or refer patients to hospitals.
253323,Rheumatologists,7,May consult other medical specialists.
253324,Thoracic Medicine Specialists,1,"Examines patients to determine the nature and extent of problems after referral from general medical practitioners and other medical specialists, and undertakes laboratory tests and diagnostic procedures."
253324,Thoracic Medicine Specialists,2,Analyses test results and other medical information to make diagnoses.
253324,Thoracic Medicine Specialists,3,"Prescribes and administers drugs, as well as remedial and therapeutic treatment and procedures."
253324,Thoracic Medicine Specialists,4,Records medical information and data.
253324,Thoracic Medicine Specialists,5,Reports specified contagious and notifiable diseases to government health and immigration authorities.
253324,Thoracic Medicine Specialists,6,May admit or refer patients to hospitals.
253324,Thoracic Medicine Specialists,7,May consult other medical specialists.
253399,Other Specialist Physicians,1,"Examines patients to determine the nature and extent of problems after referral from general medical practitioners and other medical specialists, and undertakes laboratory tests and diagnostic procedures."
253399,Other Specialist Physicians,2,Analyses test results and other medical information to make diagnoses.
253399,Other Specialist Physicians,3,"Prescribes and administers drugs, as well as remedial and therapeutic treatment and procedures."
253399,Other Specialist Physicians,4,Records medical information and data.
253399,Other Specialist Physicians,5,Reports specified contagious and notifiable diseases to government health and immigration authorities.
253399,Other Specialist Physicians,6,May admit or refer patients to hospitals.
253399,Other Specialist Physicians,7,May consult other medical specialists.
253511,Surgeons (General),1,"Examines patients to determine the necessity of operations, estimates and explains risks to patients, and selects the best operational procedures."
253511,Surgeons (General),2,"Reviews reports on patients' general physical condition, reactions to medications and medical histories."
253511,Surgeons (General),3,Consults with anaesthetists regarding the correct anaesthesia for patients.
253511,Surgeons (General),4,Performs surgical operations.
253511,Surgeons (General),5,"Examines instruments, equipment, and surgical set-up to ensure that antiseptic and aseptic methods have been followed."
253511,Surgeons (General),6,"Instructs other medical, nursing and associated staff regarding the preparation of patients and instrument and equipment requirements."
253511,Surgeons (General),7,"Prescribes post-operative care, and observes and investigates patients' progress."
253511,Surgeons (General),8,Maintains records of operations performed.
253511,Surgeons (General),9,May specialise in particular types of operations.
253512,Cardiothoracic Surgeons,1,"Examines patients to determine the necessity of operations, estimates and explains risks to patients, and selects the best operational procedures."
253512,Cardiothoracic Surgeons,2,"Reviews reports on patients' general physical condition, reactions to medications and medical histories."
253512,Cardiothoracic Surgeons,3,Consults with anaesthetists regarding the correct anaesthesia for patients.
253512,Cardiothoracic Surgeons,4,Performs surgical operations.
253512,Cardiothoracic Surgeons,5,"Examines instruments, equipment, and surgical set-up to ensure that antiseptic and aseptic methods have been followed."
253512,Cardiothoracic Surgeons,6,"Instructs other medical, nursing and associated staff regarding the preparation of patients and instrument and equipment requirements."
253512,Cardiothoracic Surgeons,7,"Prescribes post-operative care, and observes and investigates patients' progress."
253512,Cardiothoracic Surgeons,8,Maintains records of operations performed.
253512,Cardiothoracic Surgeons,9,May specialise in particular types of operations.
253513,Neurosurgeons,1,"Examines patients to determine the necessity of operations, estimates and explains risks to patients, and selects the best operational procedures."
253513,Neurosurgeons,2,"Reviews reports on patients' general physical condition, reactions to medications and medical histories."
253513,Neurosurgeons,3,Consults with anaesthetists regarding the correct anaesthesia for patients.
253513,Neurosurgeons,4,Performs surgical operations.
253513,Neurosurgeons,5,"Examines instruments, equipment, and surgical set-up to ensure that antiseptic and aseptic methods have been followed."
253513,Neurosurgeons,6,"Instructs other medical, nursing and associated staff regarding the preparation of patients and instrument and equipment requirements."
253513,Neurosurgeons,7,"Prescribes post-operative care, and observes and investigates patients' progress."
253513,Neurosurgeons,8,Maintains records of operations performed.
253513,Neurosurgeons,9,May specialise in particular types of operations.
253514,Orthopaedic Surgeons,1,"Examines patients to determine the necessity of operations, estimates and explains risks to patients, and selects the best operational procedures."
253514,Orthopaedic Surgeons,2,"Reviews reports on patients' general physical condition, reactions to medications and medical histories."
253514,Orthopaedic Surgeons,3,Consults with anaesthetists regarding the correct anaesthesia for patients.
253514,Orthopaedic Surgeons,4,Performs surgical operations.
253514,Orthopaedic Surgeons,5,"Examines instruments, equipment, and surgical set-up to ensure that antiseptic and aseptic methods have been followed."
253514,Orthopaedic Surgeons,6,"Instructs other medical, nursing and associated staff regarding the preparation of patients and instrument and equipment requirements."
253514,Orthopaedic Surgeons,7,"Prescribes post-operative care, and observes and investigates patients' progress."
253514,Orthopaedic Surgeons,8,Maintains records of operations performed.
253514,Orthopaedic Surgeons,9,May specialise in particular types of operations.
253515,"Ear, Nose and Throat Specialists",1,"Examines patients to determine the necessity of operations, estimates and explains risks to patients, and selects the best operational procedures."
253515,"Ear, Nose and Throat Specialists",2,"Reviews reports on patients' general physical condition, reactions to medications and medical histories."
253515,"Ear, Nose and Throat Specialists",3,Consults with anaesthetists regarding the correct anaesthesia for patients.
253515,"Ear, Nose and Throat Specialists",4,Performs surgical operations.
253515,"Ear, Nose and Throat Specialists",5,"Examines instruments, equipment, and surgical set-up to ensure that antiseptic and aseptic methods have been followed."
253515,"Ear, Nose and Throat Specialists",6,"Instructs other medical, nursing and associated staff regarding the preparation of patients and instrument and equipment requirements."
253515,"Ear, Nose and Throat Specialists",7,"Prescribes post-operative care, and observes and investigates patients' progress."
253515,"Ear, Nose and Throat Specialists",8,Maintains records of operations performed.
253515,"Ear, Nose and Throat Specialists",9,May specialise in particular types of operations.
253516,Paediatric Surgeons,1,"Examines patients to determine the necessity of operations, estimates and explains risks to patients, and selects the best operational procedures."
253516,Paediatric Surgeons,2,"Reviews reports on patients' general physical condition, reactions to medications and medical histories."
253516,Paediatric Surgeons,3,Consults with anaesthetists regarding the correct anaesthesia for patients.
253516,Paediatric Surgeons,4,Performs surgical operations.
253516,Paediatric Surgeons,5,"Examines instruments, equipment, and surgical set-up to ensure that antiseptic and aseptic methods have been followed."
253516,Paediatric Surgeons,6,"Instructs other medical, nursing and associated staff regarding the preparation of patients and instrument and equipment requirements."
253516,Paediatric Surgeons,7,"Prescribes post-operative care, and observes and investigates patients' progress."
253516,Paediatric Surgeons,8,Maintains records of operations performed.
253516,Paediatric Surgeons,9,May specialise in particular types of operations.
253517,Plastic and Reconstructive Surgeons,1,"Examines patients to determine the necessity of operations, estimates and explains risks to patients, and selects the best operational procedures."
253517,Plastic and Reconstructive Surgeons,2,"Reviews reports on patients' general physical condition, reactions to medications and medical histories."
253517,Plastic and Reconstructive Surgeons,3,Consults with anaesthetists regarding the correct anaesthesia for patients.
253517,Plastic and Reconstructive Surgeons,4,Performs surgical operations.
253517,Plastic and Reconstructive Surgeons,5,"Examines instruments, equipment, and surgical set-up to ensure that antiseptic and aseptic methods have been followed."
253517,Plastic and Reconstructive Surgeons,6,"Instructs other medical, nursing and associated staff regarding the preparation of patients and instrument and equipment requirements."
253517,Plastic and Reconstructive Surgeons,7,"Prescribes post-operative care, and observes and investigates patients' progress."
253517,Plastic and Reconstructive Surgeons,8,Maintains records of operations performed.
253517,Plastic and Reconstructive Surgeons,9,May specialise in particular types of operations.
253518,Urologists,1,"Examines patients to determine the necessity of operations, estimates and explains risks to patients, and selects the best operational procedures."
253518,Urologists,2,"Reviews reports on patients' general physical condition, reactions to medications and medical histories."
253518,Urologists,3,Consults with anaesthetists regarding the correct anaesthesia for patients.
253518,Urologists,4,Performs surgical operations.
253518,Urologists,5,"Examines instruments, equipment, and surgical set-up to ensure that antiseptic and aseptic methods have been followed."
253518,Urologists,6,"Instructs other medical, nursing and associated staff regarding the preparation of patients and instrument and equipment requirements."
253518,Urologists,7,"Prescribes post-operative care, and observes and investigates patients' progress."
253518,Urologists,8,Maintains records of operations performed.
253518,Urologists,9,May specialise in particular types of operations.
253521,Vascular Surgeons,1,"Examines patients to determine the necessity of operations, estimates and explains risks to patients, and selects the best operational procedures."
253521,Vascular Surgeons,2,"Reviews reports on patients' general physical condition, reactions to medications and medical histories."
253521,Vascular Surgeons,3,Consults with anaesthetists regarding the correct anaesthesia for patients.
253521,Vascular Surgeons,4,Performs surgical operations.
253521,Vascular Surgeons,5,"Examines instruments, equipment, and surgical set-up to ensure that antiseptic and aseptic methods have been followed."
253521,Vascular Surgeons,6,"Instructs other medical, nursing and associated staff regarding the preparation of patients and instrument and equipment requirements."
253521,Vascular Surgeons,7,"Prescribes post-operative care, and observes and investigates patients' progress."
253521,Vascular Surgeons,8,Maintains records of operations performed.
253521,Vascular Surgeons,9,May specialise in particular types of operations.
253911,Dermatologists,1,Examines patients and carries out or arranges for specialised tests.
253911,Dermatologists,2,Prescribes medicine and advises patients on regiment to preserve or restore the health of the skin.
253911,Dermatologists,3,Maintains clinical records.
253912,Emergency Medicine Specialists,1,"Examines patients for injuries, diseases and disorders and carries out a range of specialist tests and procedures."
253912,Emergency Medicine Specialists,2,May administer drugs as required.
253912,Emergency Medicine Specialists,3,Arranges patients admissions.
253913,Obstetricians and Gynaecologists,1,"Diagnoses and treats female patients for diseases of the reproductive system, using surgery if necessary."
253913,Obstetricians and Gynaecologists,2,Examines patients periodically and provides advice or prescribes medication during pre-natal period.
253913,Obstetricians and Gynaecologists,3,Delivers infants and cares for mother for prescribed period of time following childbirth.
253914,Eye Specialists,1,Read patient's history.
253914,Eye Specialists,2,Examine patients and determine whether surgery is necessary.
253914,Eye Specialists,3,Consults with anaesthetists about the operation and the patient's treatment.
253914,Eye Specialists,4,Gives instructions about preparing patients for operating theatres.
253914,Eye Specialists,5,Performs and manages operations.
253914,Eye Specialists,6,Provides instructions for post-operative care.
253914,Eye Specialists,7,Monitors patients after surgery.
253914,Eye Specialists,8,Keeps medical records and sends final reports to general practitioners.
253914,Eye Specialists,9,May teach trainees.
253915,Pathologists,1,"Conducts tests on body samples to determine nature, stage of development and possible source of illness."
253915,Pathologists,2,Studies effects of selected drugs on diseased organisms to find effective methods for treating specific patients.
253915,Pathologists,3,Performs autopsies.
253915,Pathologists,4,May apply scientific knowledge and skills to investigate crimes by analysis physical and biological evidence.
253917,Diagnostic and Interventional Radiologists,1,"Examines internal structures and functions of organ systems, and considers x-ray findings and other examinations and tests."
253917,Diagnostic and Interventional Radiologists,2,"Makes diagnoses and advises patients, physicians, surgeons or other doctors."
253917,Diagnostic and Interventional Radiologists,3,"Administers radiopaque substances by injection, orally, or as enemas, to render internal structures and organs visible on x-ray films or fluoroscope screens."
253917,Diagnostic and Interventional Radiologists,4,"Conducts ultrasound, gamma camera, radioisotope scans and ct scanning."
253918,Radiation Oncologists,1,"Examines internal structures and functions of organ systems, and considers x-ray findings and other examinations and tests."
253918,Radiation Oncologists,2,"Makes diagnoses and advises patients, physicians, surgeons or other doctors."
253918,Radiation Oncologists,3,"Administers radiopaque substances by injection, orally, or as enemas, to render internal structures and organs visible on x-ray films or fluoroscope screens."
253918,Radiation Oncologists,4,"Conducts ultrasound, gamma camera, radioisotope scans and ct scanning."
253999,Medical Practitioners (not covered elsewhere),1,Examines patients and carries out or arranges special tests.
253999,Medical Practitioners (not covered elsewhere),2,Prescribes medicine and advises patients on regimen to preserve and restore health and/or fitness.
253999,Medical Practitioners (not covered elsewhere),3,May administer dugs as required.
253999,Medical Practitioners (not covered elsewhere),4,Maintains medical records.
254211,Nurse Educators,1,"Researches, plans, develops and implements nursing curriculum."
254211,Nurse Educators,2,Facilitates practical experience for general and specialist nurses.
254211,Nurse Educators,3,Evaluates ongoing and changing educational needs and monitors course outcomes.
254211,Nurse Educators,4,"Participates in developing and implementing policies affecting nursing, nurse education and health."
254212,Nurse Researchers,1,"Undertakes and promotes nursing and interdisciplinary research projects, and disseminates research information."
254212,Nurse Researchers,2,Promotes utilisation of current research findings into clinical nursing practice and patient management.
254212,Nurse Researchers,3,"Promotes the implementation of research and research findings into organisation-wide functions such as safety, quality and risk management."
254212,Nurse Researchers,4,Provides support and education for other nurses undertaking research.
254411,Nurse Practitioners,1,"Assesses, plans, implements and evaluates nursing care for patients according to accepted nursing practice and standards."
254411,Nurse Practitioners,2,"Works in consultation with other health professionals and members of health teams, and co-ordinating the care of patients."
254411,Nurse Practitioners,3,"Provides interventions, treatments and therapies such as medications, and monitors responses to treatment and care plans."
254411,Nurse Practitioners,4,Promotes health and assists in preventing ill health by participating in health education and other health promotion activities.
254411,Nurse Practitioners,5,Answers questions and providing information to patients and families about treatment and care.
254411,Nurse Practitioners,6,Supervises and co-ordinating the work of enrolled nurses and other health care workers.
254412,Registered Nurses (Aged Care),1,"Assesses, plans, implements and evaluates nursing care for patients according to accepted nursing practice and standards."
254412,Registered Nurses (Aged Care),2,"Works in consultation with other health professionals and members of health teams, and co-ordinates the care of patients."
254412,Registered Nurses (Aged Care),3,"Provides interventions, treatments and therapies such as medications, and monitors responses to treatment and care plan."
254412,Registered Nurses (Aged Care),4,Promotes health and assists in preventing ill health by participating in health education and other health promotion activities.
254412,Registered Nurses (Aged Care),5,Answers questions and provides information to patients and families about treatment and care.
254412,Registered Nurses (Aged Care),6,Supervises and co-ordinates the work of enrolled nurses and other health care workers.
254413,Registered Nurses (Child and Family Health),1,"Assesses, plans, implements and evaluates nursing care for patients according to accepted nursing practice and standards."
254413,Registered Nurses (Child and Family Health),2,"Works in consultation with other health professionals and members of health teams, and co-ordinating the care of patients."
254413,Registered Nurses (Child and Family Health),3,"Provides interventions, treatments and therapies such as medications, and monitors responses to treatment and care plans."
254413,Registered Nurses (Child and Family Health),4,Promotes health and assists in preventing ill health by participating in health education and other health promotion activities.
254413,Registered Nurses (Child and Family Health),5,Answers questions and providing information to patients and families about treatment and care.
254413,Registered Nurses (Child and Family Health),6,Supervises and co-ordinating the work of enrolled nurses and other health care workers.
254414,Registered Nurses (Community Health),1,"Assesses, plans, implements and evaluates nursing care for patients according to accepted nursing practice and standards."
254414,Registered Nurses (Community Health),2,"Works in consultation with other health professionals and members of health teams, and co-ordinating the care of patients."
254414,Registered Nurses (Community Health),3,"Provides interventions, treatments and therapies such as medications, and monitors responses to treatment and care plans."
254414,Registered Nurses (Community Health),4,Promotes health and assists in preventing ill health by participating in health education and other health promotion activities.
254414,Registered Nurses (Community Health),5,Answers questions and providing information to patients and families about treatment and care.
254414,Registered Nurses (Community Health),6,Supervises and co-ordinating the work of enrolled nurses and other health care workers.
254415,Registered Nurses (Critical Care and Emergency),1,"Assesses, plans, implements and evaluates nursing care for patients according to accepted nursing practice and standards."
254415,Registered Nurses (Critical Care and Emergency),2,"Works in consultation with other health professionals and members of health teams, and co-ordinating the care of patients."
254415,Registered Nurses (Critical Care and Emergency),3,"Provides interventions, treatments and therapies such as medications, and monitors responses to treatment and care plans."
254415,Registered Nurses (Critical Care and Emergency),4,Promotes health and assists in preventing ill health by participating in health education and other health promotion activities.
254415,Registered Nurses (Critical Care and Emergency),5,Answers questions and providing information to patients and families about treatment and care.
254415,Registered Nurses (Critical Care and Emergency),6,Supervises and co-ordinates the work of enrolled nurses and other health care workers.
254416,Registered Nurses (Developmental Disability),1,"Assesses, plans, implements and evaluates nursing care for patients according to accepted nursing practice and standards."
254416,Registered Nurses (Developmental Disability),2,"Works in consultation with other health professionals and members of health teams, and co-ordinating the care of patients."
254416,Registered Nurses (Developmental Disability),3,"Provides interventions, treatments and therapies such as medications, and monitors responses to treatment and care plans."
254416,Registered Nurses (Developmental Disability),4,Promotes health and assists in preventing ill health by participating in health education and other health promotion activities.
254416,Registered Nurses (Developmental Disability),5,Answers questions and providing information to patients and families about treatment and care.
254416,Registered Nurses (Developmental Disability),6,Supervises and co-ordinates the work of enrolled nurses and other health care workers.
254417,Registered Nurses (Disability and Rehabilitation),1,"Assesses, plans, implements and evaluates nursing care for patients according to accepted nursing practice and standards."
254417,Registered Nurses (Disability and Rehabilitation),2,"Works in consultation with other health professionals and members of health teams, and co-ordinating the care of patients."
254417,Registered Nurses (Disability and Rehabilitation),3,"Provides interventions, treatments and therapies such as medications, and monitors responses to treatment and care plans."
254417,Registered Nurses (Disability and Rehabilitation),4,Promotes health and assists in preventing ill health by participating in health education and other health promotion activities.
254417,Registered Nurses (Disability and Rehabilitation),5,Answers questions and providing information to patients and families about treatment and care.
254417,Registered Nurses (Disability and Rehabilitation),6,Supervises and co-ordinates the work of enrolled nurses and other health care workers.
254418,Registered Nurses (Medical),1,"Assesses, plans, implements and evaluates nursing care for patients according to accepted nursing practice and standards."
254418,Registered Nurses (Medical),2,"Works in consultation with other health professionals and members of health teams, and co-ordinating the care of patients."
254418,Registered Nurses (Medical),3,"Provides interventions, treatments and therapies such as medications, and monitors responses to treatment and care plans."
254418,Registered Nurses (Medical),4,Promotes health and assists in preventing ill health by participating in health education and other health promotion activities.
254418,Registered Nurses (Medical),5,Answers questions and providing information to patients and families about treatment and care.
254418,Registered Nurses (Medical),6,Supervises and co-ordinates the work of enrolled nurses and other health care workers.
254421,Registered Nurses (Medical Practice),1,"Assesses, plans, implements and evaluates nursing care for patients according to accepted nursing practice and standards."
254421,Registered Nurses (Medical Practice),2,"Works in consultation with other health professionals and members of health teams, and co-ordinating the care of patients."
254421,Registered Nurses (Medical Practice),3,"Provides interventions, treatments and therapies such as medications, and monitors responses to treatment and care plans."
254421,Registered Nurses (Medical Practice),4,Promotes health and assists in preventing ill health by participating in health education and other health promotion activities.
