osca_code,occupation,alternative_titles,specialisations,lead_statement,registration_or_licensing,skill_level,main_tasks,mapped_anzsco_codes,mapped_anzsco_titles,mapping_types,qualification_count
399434,Garment Technician,,Clothing Patternmaker,"Collaborates with design teams through all aspects of technical product development, from design to manufacturing, to ensure accuracy of product measurement, quality construction, and fit of garments.",,3,"Interprets design sketches, sample articles and design specifications to create master patterns; Uses digital technology to create, modify and maintain patterns and pattern libraries; Collaborates with design team to develop technical specifications for the construction of garments; Conducts fittings and makes necessary design adjustments to ensure proper fit and comfort of garments; Oversees the production process to ensure that garments are made according to specifications; Adjusts pattern sizes to create a full-size range for production and ensures that proportions are maintained across all sizes; Tests and evaluates samples and production pieces for construction integrity, sizing consistency and adherence to design specifications",393212; 393299,Clothing Patternmaker; Clothing Trades Workers nec,partial,8
399435,Leather Goods Maker,,Saddler,"Fabricates and repairs leather articles, such as wallets, cases, harnesses and saddlery.",,3,"Selects and prepares leather materials for fabrication and repair; Cuts, shapes and moulds leather articles according to patterns; Assembles leather pieces using stitching, gluing and other techniques; Adds decorative elements to leather articles, such as embossing or engraving; Repairs damaged leather articles, and applies finishes and polishes; Inspects finished leather articles for quality; Maintains and cleans leatherworking tools and equipment",393112,Leather Goods Maker,full,3
399436,Sail Maker,,,Fabricates and repairs sails and other articles from sailcloth.,,3,Consults clients to determine sail specifications; Measures and cuts sailcloth to required dimensions; Fabricates or repairs sails using machines and hand tools; Reinforces sail edges and corners with additional layers of sailcloth or stitching; Inspects sails to ensure quality and adherence to specifications; Provides advice regarding care and maintenance of sails,393113,Sail Maker,full,1
399437,Shoemaker,,Medical Grade Shoemaker; Shoe Repairer,Makes and repairs boots or shoes.,,3,"Measures customers' feet for shoe size; Designs patterns and prototypes of shoes; Cuts and shapes shoe components to desired specifications; Assembles shoes using adhesives, rivets or stitching; Repairs shoes by replacing components; Provides shoe care advice to customers",393114,Shoemaker,full,2
399438,Upholsterer,,Furniture Upholsterer; Mattress Maker,"Makes, rebuilds and repairs upholstered articles such as chairs, sofas, beds and mattresses.",,3,Assesses items to determine the nature of upholstery required; Consults clients regarding upholstery preferences and provides estimates of costs; Repairs or replaces damaged upholstery; Fits upholstery to new items of furniture; Operates tools and equipment for upholstery work,393311,Upholsterer,full,2
399531,Furniture Finisher,,French Polisher,"Applies finishes such as stain, lacquer, paint, oil and varnish to furniture, and polishes and waxes finished furniture surfaces.",,3,"Prepares furniture surfaces for finishing by sanding, scraping or stripping old finishes; Mixes and applies stains, lacquers, paints, oils or varnishes to furniture surfaces; Uses brushes, spray guns or other tools to apply finishes evenly and smoothly; Inspects finished furniture surfaces for quality and makes any necessary touch-ups or repairs; Polishes and waxes finished furniture surfaces to enhance shine and protect the finish",394211,Furniture Finisher,full,2
399532,Furniture Maker,,,"Fabricates and repairs freestanding furniture from timber, veneers, laminates and cane.",,3,"Examines drawings, work orders and sample parts to determine specifications; Selects and works with materials such as timber, veneers, particle board, synthetic wood and other engineered wood products; Assembles parts to form sections of cabinets and furniture and completed articles; Fits hinges, locks, catches, drawers, shelves and other associated hardware; Makes frames for chairs and couches; Applies protective coatings to cabinets and furniture; May repair and refurbish furniture, including antiques; May make reproduction furniture",394111,Cabinetmaker,full,3
399533,Picture Framer,,,"Cuts out and assembles mouldings to make picture frames, and frames paintings, photographs, needlework and other artwork.",,3,"Measures and cuts mouldings to required lengths; Assembles mouldings using various fastening methods; Cuts and fits glass, matting and backing materials; Mounts artwork onto backing materials with appropriate techniques; Inspects finished frames for quality; Adds decorative elements to enhance frame appearance; Assists customers in selecting frames and matting",394212,Picture Framer,full,1
399534,Wood Machinist,,Automatic Profile Sander Operator; Copy Lathe Operator; Edge Bander Operator; Jigmaker (Wood); Panel Saw Operator; Sawmill Moulder Operator; Wood Turner; Woodworking Machine Setter,"Cuts, planes, turns, shapes, lathes and sands wood stock to specifications.",,3,"Sets up and operates woodworking machines and tools to produce wooden products; Selects and measures wood stock to be cut, planed, turned, shaped, lathed or sanded; Adjusts and calibrates woodworking machine settings to ensure accurate and precise cuts and shaping; Monitors woodworking machine operation, and adjusts settings as necessary to maintain quality and efficiency; Uses hand tools and power tools to shape and finish wood products; Inspects finished wood products for defects and ensures they meet specifications",394213; 394214,Wood Machinist; Wood Turner,partial,4
399599,Wood Machinists and Other Wood Trades Workers nec,,,This occupation group covers Wood Machinists and Other Wood Trades Workers not elsewhere classified.,,3,,394299,Wood Machinists and Other Wood Trades Workers nec,full,2
399931,Boat Builder and Repairer,,Rigger (Boat); Yacht Builder,"Builds, repairs and modifies boats.",Registration or licensing may be required.,3,"Reads, analyses and interprets technical drawings and plans for boat construction; Builds and repairs boats using various materials such as wood, fibreglass, carbon fibre, metal, glass, reinforced plastic and Kevlar; Modifies boat designs and structures to meet customer requirements; Installs and fits out boat interiors including cabinetry, fixtures and fittings; Completes rigging fit out of new boat builds; Repairs and replaces damaged or worn-out boat parts and components to ensure the boat is seaworthy",399111; 399999,Boat Builder and Repairer; Technicians and Trades Workers nec,partial,7
399932,Diver,,Abalone Diver; Clearance Diver (Navy); Fisheries Diver; Hyperbaric Welder Diver; Offshore Diver; Onshore Diver; Pearl Diver; Saturation Diver; Scientific Diver,"Swims underwater to undertake tasks such as seafood gathering, research, salvage and construction.",Registration or licensing may be required.,3,"Plans and prepares for diving operations, including assessing risks and determining appropriate equipment and techniques; Inspects and maintains diving equipment; Enters water and swims underwater to perform tasks such as seafood gathering, research, salvage and construction; Uses tools and equipment underwater to complete tasks; Monitors and records data and observations during underwater tasks; Follows safety procedures and protocols to ensure personal safety and the safety of others",399911,Diver,full,2
399933,Fire Protection Equipment Technician,Fire Service Technician,Fire Extinguisher Technician,"Installs, tests and maintains fire protection equipment and systems such as extinguishers, hoses, reels, hydrants, fire blankets, exit lighting, fire and smoke doors, gaseous fire suppression systems, passive fire and smoke containment systems, and foam generating equipment.",Registration or licensing may be required.,3,"Installs fire protection equipment and systems in accordance with industry standards; Inspects and tests fire protection equipment and systems to ensure they are working properly; Maintains and services fire protection equipment and systems to ensure they comply with regulations and meet performance standards; Identifies, reports and repairs any faults or issues with fire protection equipment and systems; Advises building owners about new fire protection equipment and systems",399918,Fire Protection Equipment Technician,full,10
399934,Gas Network Technician,,Gas Distribution Technician,"Installs, inspects, maintains and responds to incidents involving gas transmission pipelines, gas distribution networks, gas storage vessels, and associated facilities and equipment.",,3,"Installs, inspects, modifies and maintains gas storage vessels, transmission pipelines or distribution gas networks and associated equipment; Responds to alarms, equipment malfunctions and emergency incidents in gas distribution networks; Conducts and assists with risk assessment in gas distribution networks, and permit issuance and compliance; Complies with organisational safety policies and procedures involving gas distribution network infrastructure and equipment, and records relevant information",334114,Gasfitter,full,5
399935,Optical Mechanic,,,"Operates machines to grind, polish and surface optical lenses to meet prescription requirements, and fits lenses to spectacle frames.",,3,"Operates machines to shape and smooth optical lenses; Inspects lenses to ensure they meet prescription requirements; Selects and assembles optical elements for instruments or spectacles, and fits them into position; Scrapes, files and laps mounts of instrument to align optical elements; Centres, focuses, adjusts and calibrates instrument on standard targets; Anchors lenses and other optical elements with adhesives or retaining rings",399914,Optical Mechanic,full,0
399936,Plastics Technician,,,"Programs, adjusts, repairs, maintains and troubleshoots machines which manufacture plastic products.",,3,"Programs production machinery, using knowledge of polymers, additives and other materials; Inspects, calibrates and regulates machines, and conducts ongoing basic quality control tests; Troubleshoots, repairs and adjusts machines which manufacture plastic products; Prepares production and maintenance schedules to minimise downtime and maximise productivity; Recommends technical design or process changes to improve efficiency, quality or performance; Completes routine quality checks on the product, such as dimensional checks, hardness, clarity of colour and appearances; Coordinates production and workflow processes, and keeps records of operational or production data",399916,Plastics Technician,full,4
399937,Railway Network Controller,,,Oversees the safe operation of a railway network using a computerised train control signalling system.,,3,"Assesses and approves the movement of trains to ensure the safe operation of a rail network, based on the status of railway signals; Authorises and controls any activity taking place on railway tracks, including maintenance work; Communicates with Railway Signal Operators to carry out alterations to signals as required; Records movements of trains; Minimises delays caused by rail network disruptions; Recommends suitable alternative services during disruptions; Liaises with emergency services in response to accidents or disruptions",712918,Train Controller,full,1
399938,Shipwright,,,"Constructs, fits out and repairs ships.",Registration or licensing is required.,3,"Studies and understands detailed design drawings and specifications for ships; Chooses appropriate materials for constructing various parts of ships considering strength, durability and weight; Constructs ship frameworks, hulls and decks using hand and power tools and advanced machinery, ensuring accurate alignment and fitting; Fits and installs parts of ships such as engines, propellors and navigation equipment in compliance with design specifications; Repairs and maintains ships to ensure they are seaworthy; Inspects and tests ships structures and systems for quality and functionality",399112,Shipwright,full,4
399999,Technicians and Trades Workers nec,,,This occupation group covers Technicians and Trades Workers not elsewhere classified.,,3,,399999,Technicians and Trades Workers nec,full,1
411131,Child Protection Practitioner,Child Protection Case Worker; Child Protection Officer; Child Protection Worker; Child Safety Officer,,"Supports children, young people and families by delivering statutory child protection services, including assessment, intervention, casework and case management, in accordance with legislation and practice guidelines.",,2,"Conducts child safety assessments and develops, implements, monitors and reviews safety plans for individuals or families; Delivers relevant interventions to ensure child safety in accordance with legislation and practice guidelines; Reviews and maintains case work for individuals and families to ensure continued protection; Participates in individual and group supervision sessions; Liaises with community groups, and refers individuals to child safety education programs and other related services; May attend court proceedings for relevant cases",272613,Welfare Worker,full,6
411132,Family Violence Practitioner,Family and Domestic Violence Support Worker; Family Violence Case Manager; Family Violence Worker,,"Assists individuals and families experiencing violence to be safe by assessing home life, establishing and implementing safety and intervention plans, and providing ongoing support.",,2,"Conducts family violence risk assessments, and establishes, implements, monitors and reviews case plan objectives and goals; Delivers relevant interventions aimed at increasing safety and wellbeing of the family members of victim survivors; Provides support to vulnerable and complex families who are experiencing high-risk family violence; Facilitates referrals to relevant agencies",272613,Welfare Worker,full,3
411231,Community Development Officer,Community Development Coordinator; Community Development Worker,Multicultural Community Development Worker,"Assesses the social and wellbeing needs of individuals and families to develop programs, organisations and services to meet the needs of the community.",,2,"Identifies, develops and coordinates support programs, projects or services to address the needs of the community; Establishes and administers neighbourhood houses, community groups, programs and other services to members of the community; Establishes activity programs to assist community connectivity and encourage community participation; Develops stakeholder partnerships to enhance community engagement and participation for all individuals; Implements and promotes policies and strategies to ensure access to recreation and development programs, and inclusion for all members of the community",411711,Community Worker,full,17
411232,Community Support Worker,Community Service Coordinator; Community Services Worker; Community Worker,,"Facilitates and assists with the delivery of community development and education programs within a community to address issues, needs and problems associated with recreational, health, employment and other welfare matters.",,2,"Provides practical and emotional support to individuals and families, and referrals to available resources and emergency supplies, such as food vouchers; Assesses individuals' and families' needs by planning, implementing and accessing relevant educational, training and support programs; Assesses community needs and resources for health, welfare, housing, employment, training and other facilities and services; Raises awareness in the community and advocates for groups of people that require additional assistance to establish community connectivity; Educates individuals to gain life skills to enable independent living and informs them of available support resources; Identifies and provides resolutions to immediate issues such as lack of housing, mental health crises and other health emergencies; Assists individuals and families to be actively involved in their local community and engage in meaningful opportunities to promote healthy active living; Coordinates mobile voluntary services such as emergency food response or delivery of food for community programs; Provides individuals with transport to appointments, programs or recreational activities; Supports individuals and families with recovery planning, goal setting and access to mental health services",411512; 411711,Kaiāwhina (Hauora) (Māori Health Assistant); Community Worker,partial,24
411331,Diversional Therapist,Recreational Therapist,,"Plans, designs and coordinates individualised recreational, lifestyle and leisure-based activities to support, challenge and enhance the psychological, spiritual, social, emotional and physical wellbeing of individuals primarily in health care or aged care homes.",,2,"Identifies individual needs, interests, skills, autonomy and abilities through task analysis, and encourages participation and independence in suitable leisure and recreational events; Evaluates and assesses clients' levels of abilities, interests, needs, strengths, weaknesses, and their ability to carry out a range of tasks and interact with others; Adapts programs to suit individual needs, interests, skills and abilities; Plans, implements and coordinates leisure-based activity programs for groups and individuals to assist with their social development and promote their sense of wellbeing; Maintains a knowledge of resources available within a facility and the community; Assists with training and supervising volunteers and staff",411311,Diversional Therapist,full,3
411332,Lifestyle Coordinator,Activities Coordinator; Leisure and Lifestyle Coordinator,,"Develops and coordinates recreation, lifestyle and leisure-based activity group programs to support, challenge and enhance the psychological, spiritual, social, emotional and physical wellbeing of individuals primarily in health care or aged care homes.",,3,"Develops and coordinates leisure-based activity group programs to assist with social development and promote a sense of wellbeing; Evaluates and reviews programs, seeks feedback on activities, and makes adjustments to programs if required; Maintains a knowledge of resources available within a facility and the community; Engages with community groups to build a network of support and provides information on available support resources within the local community; Assists with training and supervises volunteers and staff; May coordinate and promote cultural and religious celebrations and activities within a facility",411311,Diversional Therapist,full,9
411333,Lifestyle Officer,Activities Officer; Recreational Activities Officer,,"Delivers recreation, lifestyle and leisure-based activity group programs to support, challenge and enhance the psychological, spiritual, social, emotional and physical wellbeing of individuals primarily in health care or aged care homes, and encourages program participation.",,3,"Assists the Lifestyle Coordinator to deliver leisure-based activity group programs to assist with social development, promote a sense of wellbeing, and enable interaction with others; Encourages participation and independence in suitable leisure and recreational events based on interest, abilities, skills and autonomy; Monitors individuals' conditions during program participation and reports any issues to care staff; Documents and records individuals' behaviours, ensures their needs are being met, and advises the Lifestyle Coordinator when anomalies are detected; Maintains a knowledge of resources available within a facility and the community; Engages with community groups to build a network of support and provides information on available support resources within the local community",411311,Diversional Therapist,full,5
411431,Employment Consultant,Job Coach,Disability Employment Consultant,"Assists people to find suitable employment through collaboration with employers and clients, and provision of ongoing support.",,3,"Recognises, supports and evaluates individuals' needs, interests, skills and past job experience; Plans, develops and implements capability building for individuals through training and support services; Creates and implements individualised plans with clients to support a clear pathway to employment; Coordinates with employers to find suitable employment for individuals; Builds and maintains relationships with employers and community organisations in order to obtain ongoing employment opportunities for clients; Assists individuals with job applications and requirements; Fosters long-term relationships with clients and provides ongoing support; May assist people with disability and neurodivergent individuals to find suitable employment by collaborating with employers and clients to ensure reasonable adjustments",223112; 411712,Recruitment Consultant; Disabilities Services Officer,partial,3
411531,Interpreter,,Auslan Interpreter,"Transfers a spoken or signed language into another spoken or signed language, usually within a limited time frame, in the physical, visual or aural presence of the participants requiring the transfer.",,2,Prepares for assignments by confirming terminology and undertaking domain specific research to comprehend the subject matter; Provides simultaneous and consecutive verbal or signed renditions of speeches into another language; Renders the meaning and feeling of what is spoken or signed into another language in the appropriate register and style; Transfers a written message and its intent from one language into a spoken or signed message in another language,272412,Interpreter,full,5
411532,Translator,,,"Transfers a source text from one language into another, usually within an extended time frame to allow for corrections and modifications, without the presence of the participants requiring the transfer.",,2,"Studies original texts and transcripts of recorded spoken material to comprehend the subject matter; Accurately renders the meaning and feeling of written material from one language into another using the appropriate register and style; Edits computer-translated text and uses online translation and computer-assisted translation tools; Creates translation memories for use in computer-assisted translation tools; Edits, proofreads and localises texts with a multilingual perspective",272413,Translator,full,4
411631,Community Corrections Officer,Parole or Probation Officer,,Supervises offenders who have been placed on probation by court order or released conditionally from corrective service institutions.,,2,"Provides written and verbal recommendations to courts and state parole authorities about offenders; Develops and implements individualised case plans for offenders to assist them with their rehabilitation and reintegration into the community; Monitors, supervises and visits offenders at their home and workplace to ensure compliance with the requirements of their court order or conditional release; Conducts regular meetings with offenders to discuss their progress and address any issues or concerns; Coordinates with law enforcement when offenders violate the terms of a court order or conditional release",411714,Parole or Probation Officer,full,1
411632,Family Support Worker,Family Case Worker; Family Services Worker; Family Support Officer,,"Provides advice and support to children, young people and families with diverse needs, within the home environment and community, in a culturally safe manner.",,2,"Identifies families who require additional support and provides internal/external referrals; Ensures families can access appropriate services, and encourages families and individuals with particular needs to participate in informal discussion, counselling or support groups; Assists and collaborates with Social and Welfare Workers to develop holistic plans by establishing family assessments, safety plans, goals and interventions to ensure safety and wellbeing, and empower families towards positive change; Liaises and collaborates with case workers and case work managers to ensure high quality service delivery, and provides updates regarding any issues and problem solves with them; Assists with transporting clients to services and appointments; Encourages parents to join community groups and playgroups; Supports and advocates for the appropriate clinical care of mothers, babies and the wider family group; Supports children being cared for by foster carers",411713,Family Support Worker,full,4
411633,Financial Counsellor (Community),,Rural Financial Counsellor,"Assists individuals, families and groups by assessing financial situations, and supports them by creating plans with a focus on resolving financial difficulties and improving their skills to develop financial stability.",,2,"Supports individuals in the community to resolve or alleviate financial stress; Creates assessments of financial situations and assists with resolutions if necessary; Provides information and options to address financial problems, and advocates and negotiates with creditors where required; Improves financial capabilities and resilience by fostering improved use and management of money, including pathways to safe and affordable credit; Facilitates referrals to other useful services in the community and provides information about government assistance; Relays relevant information about consumer credit and bankruptcy; Provides community training sessions on financial literacy and wellbeing",272613,Welfare Worker,full,8
411634,Housing Officer,Housing Services Officer,,"Assists individuals and families experiencing housing difficulties to find suitable solutions. Provides support, information and advice on entitlements, and coordinates with other agencies to improve quality of life.",,2,"Provides individually tailored and person-centred support to deliver safe, secure, suitable and affordable housing to improve individuals' and families' wellbeing; Advises on rights and entitlements to ensure requirements for providing accommodation and housing standards are met; Refers clients to appropriate sources of accommodation and income support; Ensures that accommodation is suited to the needs of particular groups, such as older people and persons with additional requirements; Develops, implements and delivers housing programs for at-risk and low-income individuals and families; Organises emergency accommodation; Prepares reports and maintains client records",411711,Community Worker,full,6
411635,Refuge Worker,Support Worker (Refuge House),,Provides services and support to people seeking assistance in a refuge.,,3,"Assists individuals, families, refugees and asylum seekers with provision of crisis/refuge accommodation, and provides support to access relevant resources; Ensures security of refuge; Admits into refuge individuals and families who are homeless as a result of family and domestic violence, and/or crisis in emergency situations; Provides emotional support to residents of the refuge; Advises individuals and families about health and welfare resources and assistance, and refers them to relevant Professionals; Provides assistance to access and transition to appropriate accommodation options, such as youth housing, family reconciliation, private rental and public housing; Advocates for, and supports, individuals and families",423413,Refuge Worker,full,1
411636,Welfare Worker,Welfare Officer,,"Assists individuals, families and groups with difficulties by providing support, information and advice on social welfare matters, and evaluates and coordinates the services of welfare and community service agencies.",,2,"Assists and supports individuals and families experiencing difficulties to access resources available to them; Advises individuals on rights and entitlements to social security payments and services; Assesses at-risk individuals and families, and provides intensive short-term crisis counselling for victims; Assists to establish relationships with neighbourhood houses, community groups, employment training programs and other services to members of the community; Refers clients to welfare support services; Prepares reports and maintains client records",272613,Welfare Worker,full,11
411731,Residential Youth Worker,,,"Provides care and supervision for children and young people living in residential facilities, such as group homes.",,2,"Plans and implements programs of supervision and support for children in residential care; Supervises and arranges activities to enhance the physical, social, emotional and intellectual development of children in residential care; Wakes children and ensures they are washed, dressed, fed and ready for educational and recreational activities; Supervises children during domestic activities; Assesses individual needs, and plans and develops support programs; Prepares reports and maintains client records; Interviews individuals and assesses the nature and extent of abilities; Maintains discipline and reinforces appropriate behaviour standards; Monitors and reports on the progress of individuals",411715; 423411,Residential Care Officer; Child or Youth Residential Care Assistant,partial,5
411732,Youth Justice Worker,Youth Correctional Officer; Youth Custodial Officer; Youth Justice Officer,Youth Detention Worker,"Supports young people in a correctional setting to improve their education and work skills, maintain family links, and assist them with integration into the community.",,2,"Assists with the implementation of education, rehabilitation and other programs to enable reintegration into the community; Engages individuals in education and recreational activities through active participation, encouragement and mentoring; Develops age-appropriate living and domestic skills, and helps establish healthy personal hygiene routines; Engages with young people, conducts risk assessments, undertakes searches and monitors behaviours; Helps develop positive family relationships, supports young people to be involved in their communities, and engages with employment services; Understands the youth justice system, relevant legislation, processes and procedures, and establishes and maintains positive and productive working arrangements with a range of stakeholders; Supervises detainees in transit between courts, prisons and other facilities",411716,Youth Worker,full,4
411733,Youth Worker,Youth Case Worker; Youth Development Officer; Youth Officer; Youth Support Worker,,"Assists young people as individuals or groups to solve social, emotional and financial problems in an agency framework.",,2,"Interviews and assesses individuals' needs, advises on entitlements and rights, and refers them to agencies and programs that can provide additional assistance; Provides support, and responds to young people experiencing immediate issues, stress or crisis, such as lack of housing, mental health crises, and other health emergencies; Empowers young people to achieve goals and steer their life in a positive direction, and engage in meaningful opportunities to enable independent living; Assists with youth access education programs and training to increase employability; Organises and supervises social, recreational and educational activities in local youth groups to assist young people to fulfil their potential as individuals, and be actively involved in their local community; May monitor and report on the progress of individuals",411716,Youth Worker,full,10
411931,Recreation Officer,Recreation Activities Officer (Recreation); Sport and Recreation Officer,,"Plans, organises and coordinates recreation facilities and programs through various organisations, such as local governments, schools, religious bodies and youth organisations, to promote physical, social and emotional wellbeing within communities.",,3,"Assists to establish and administer neighbourhood houses, community groups, employment training programs and other services; Organises and promotes local sporting, social, recreational, cultural and educational activities and programs in local community groups; Assists and supports individuals to participate in community activities; Researches and identifies issues of local need, concerns and aspirations through community consultation; Delivers integrated projects, plans and policies that guide the management and use of open spaces, sportsgrounds and recreational facilities; Organises point of sale and hire agreements, and provides information to staff, sporting teams, and community and corporate groups on matters relating to community sport, grounds and reserves; Provides training and support to staff including voluntary workers running groups in halls, schools and places of worship; May evaluate the effectiveness of programs and activities, and use this information to provide feedback for the improvement and development of programs",272612,Recreation Officer / Recreation Coordinator,full,18
411932,Sports Development Officer,,,"Develops, promotes, delivers and manages a range of community sport and recreation activities and programs.",Registration or licensing may be required.,2,"Develops and implements sports development programs and initiatives; Promotes and markets sports and activities to the community; Provides guidance and support to individuals and groups in developing their sports skills; Organises and coordinates sports events, competitions and training sessions; Collaborates with schools, community organisations and sporting clubs to increase sports participation; Evaluates the effectiveness of sports development programs",452321,Sports Development Officer,full,5
411933,Volunteer Coordinator,Volunteer Manager,,"Plans, organises and coordinates volunteer programs in volunteer involving organisations.",,3,"Leads or assists to establish and administer community groups, volunteer training programs and other services; Develops strategies for recruitment, training, management and retention of volunteers and matches them with appropriate positions in the organisation; Organises the orientation, training and induction of volunteers; Ensures compliance with relevant legislative and regulatory requirements; Oversees and directs volunteers' activities; Collects and evaluates data and reports to stakeholders on the success of volunteer programs; Promotes, raises awareness and educates stakeholders on all aspects of volunteer programs",411711,Community Worker,full,5
421131,Aged Care Coordinator,Home Care Coordinator,,Plans and organises person-centric services for older people in an aged care home or person's own home to improve quality of life.,,3,"Supports families, and provides education and care for persons in their home or aged care homes; Monitors and reports on the progress of clients and patient care plans; Evaluates clients' needs and plans, and develops and implements educational, training and support programs; Facilitates access to clinical services and health practitioners; Interviews clients and assesses the nature and extent of their abilities; Provides practical and emotional support to individuals; Complies with relevant policies to optimise safety and wellbeing of clients",411711,Community Worker,full,3
421132,Aged Care Team Leader,Aged Care Supervisor,,"Oversees the day-to-day operations of a team of aged care workers, and ensures the delivery of high quality care and support to older people in various aged care settings.",,3,"Manages a team of aged care support workers and ensures efficient running of day-to-day operations; Maintains attendance records and rosters; Manages, anticipates and responds to unpredictable emerging situations; Onboards and responds to queries and feedback from clients and their families; Oversees team training, education and professional development programs; Complies with relevant policies to optimise the safety and wellbeing of clients; May support older people with daily activities",423111,Aged or Disabled Carer,full,3
421231,Community Aged Care Support Worker,Community Aged Care Worker; Community Care Worker (Aged Care); Home Care Worker (Aged Care),,"Provides general household assistance, emotional support and direct person-centred care for older people in their own homes.",,4,"Supports older people with daily activities such as mobility, housekeeping tasks, personal care and meal preparation; Negotiates with individuals and families regarding the acceptance of care provided; Oversees medication usage and monitors health care plans as directed by health care professionals; Provides emotional support and assists older people in managing depression, confusion and grief; Identifies and facilitates community-based social activities for older people; Manages risks and emergencies in a home care setting",423111,Aged or Disabled Carer,full,8
421331,Residential Aged Care Worker,Aged Care Support Worker; Care Service Employee (Aged Care); Personal Care Assistant (Aged Care); Personal Care Worker (Aged Care),Specialised Dementia Worker,"Provides general assistance, emotional support and direct person-centred care for older people residing in an aged care home.",,4,"Supports residents with daily activities, such as mobility and personal care; Monitors medication administration to ensure it is used correctly and effectively; Negotiates with individuals and families regarding the acceptance of care provided; Provides community engagement and social support to residents; Supports a multidisciplinary team to adhere to health plans as directed by health care professionals; Provides emotional support and assists residents in managing depression, confusion and grief; Complies with standards within an aged care facility; May perform specialised personal care, such as palliative care and dementia support; May facilitate basic medical procedures, such as catheterisation and peg feeding",423313,Personal Care Assistant,full,2
422131,Disability Services Officer,Disability Care Coordinator,Disability Local Area Coordinator; Disability Support Coordinator,"Works in a range of service units to provide care to people with disability and support access to a variety of education, training and welfare services.",,2,"Assesses clients' needs and assists them in planning, implementing and accessing education, training, employment and additional health or welfare programs; Assists and supports people with disability in all aspects of daily living, including community inclusion, personal care, and building and maintaining independence and interpersonal relationships; Supports clients to create and work towards their goals, build capacity to make their own decisions and choices, and access services; Builds relationships in local communities to help promote inclusion and improve the accessibility of services and facilities; Monitors and reports on the progress of clients",411712,Disabilities Services Officer,full,6
422132,Residential Care Officer,,House Manager (Disability); House Supervisor (Disability),Provides care and supervision for people with disability in group housing care.,,2,"Supports families and provides education and care for people with disability in adult service units and group housing; Assesses clients' needs, and plans, develops and implements educational, training and support programs; Interviews clients and assesses the nature and extent of abilities; Monitors and reports on the progress of individuals",411715,Residential Care Officer,full,1
422231,Disability Support Worker,Community Support Worker (Disability); Disability Care Worker; Disability Support; Disability Worker,,"Provides general household assistance, emotional support and person-centred care to develop individual living skills and enhance community access and social inclusion for people with disability in their own homes.",,4,"Supports people with disability with daily activities such as mobility, housekeeping tasks, personal care, medication and meal preparation; Negotiates with individuals and families regarding the acceptance of care provided; Provides emotional support, and assists in managing depression, confusion and grief; Identifies and facilitates community-based social activities for people with disability; Assists people with disability to access disability support services; Supports people with disability with training and employment; Manages risks and emergencies in a home care setting",423111,Aged or Disabled Carer,full,8
422232,Disability Team Leader,Disability Support Team Leader,,"Oversees disability support and services to deliver person-centric services that help develop individual living skills, and enhance community access and social inclusion, for people with disability in their own homes.",,3,"Manages a team of disability support workers and ensures efficient running of day-to-day operations; Maintains attendance records and rosters for disability support workers; Works with government and non-government entities to provide services to clients and organise relevant funding; Oversees team training, education and professional development programs; Works with Disability Employment Consultants to integrate clients into the workforce; Works within relevant guidelines and adheres to codes of conduct to maintain a high standard of care; May oversee the provision of home care services for clients",423111,Aged or Disabled Carer,full,2
431131,Early Childhood Education Room Leader,Early Childhood Education Group Leader,,"Provides leadership to Early Childhood Educators and contributes to the development, implementation and evaluation of the educational program and practice using an approved learning framework.",,2,"Leads a team of educators working with a group of children; Works in partnership with families, staff, community members and external agencies to promote the development, education, care and wellbeing of children; Promotes the safety and wellbeing of children; Supports educators providing education, care and supervision for babies, toddlers and young children; Complies with, and supports other educators to comply with, service policies and national and/or state-based legislation; Supports the day-to-day operation of the service; Maintains records of each child's learning, wellbeing, development, participation and progress, and communicates this with families",421111,Child Care Worker,full,3
431132,Early Childhood Educator,,,"Supports learning and development for young children in regulated centre-based services, including contributing to the educational program and practice using an approved learning framework.",,3,"Contributes to the design, planning, implementation, documentation and evaluation of children's educational programs based on an approved learning framework; Develops and maintains positive relationships with staff, children and families; Supports the daily routines, transitions and programs of babies, toddlers and/or young children; Complies with service policies and national and/or state-based legislation; Promotes the safety, health and wellbeing of staff, children and visitors; Supports children's learning, development and wellbeing",421111; 422115,Child Care Worker; Preschool Aide,partial,3
431231,Family Day Care Coordinator,Family Day Care Manager,,Leads and manages a team of Family Day Care Educators in regulated home-based education and care services.,,2,"Monitors, supports and supervises Family Day Care Educators; Leads the development and implementation of educational programs that are based on an approved learning framework; Works in partnership with families, community members and external agencies to promote the safety, health and wellbeing of children; Maintains records and documentation of the family day care service; Coordinates the recruitment of service staff and their professional development; Ensures compliance with service policies and national and/or state-based legislation; Leads the day-to-day operational requirements of the service",411711; 421112,Community Worker; Family Day Care Worker,partial,0
431232,Family Day Care Educator,,,"Provides support for children's learning, development and wellbeing in a family day care service, including following an approved learning framework.",,3,"Designs, plans, implements and evaluates an educational program based on an approved learning framework; Documents children's progress, learning, wellbeing and development; Develops and maintains positive relationships with children and families; Supports the daily routines, transitions and programs of children; Complies with family day care service policies and national and/or state-based legislation; Manages financial resources for the family day care service; May transport children to and from the family day care service",421112,Family Day Care Worker,full,2
